date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:40	51146/51146	---MCZ	200	added ('OK')	text/html	etag:W/%2200985e8dfa14b1458ff14d5533bccc74--gzip%22	https://www.ptsdbenefits.com/va-benefits-blog	D:/JS/ptsdbenefit/www.ptsdbenefits.com/va-benefits-blog.html	(from https://www.ptsdbenefits.com/)
12:58:45	96186/96186	---MCZ	200	added ('OK')	text/html	etag:W/%22b2fcb68b925815e3552fc663a566ca3b--gzip%22	https://www.ptsdbenefits.com/services	D:/JS/ptsdbenefit/www.ptsdbenefits.com/services.html	(from https://www.ptsdbenefits.com/)
12:58:45	1746405/1746405	---M-Z	200	added ('OK')	text/javascript	etag:%22310cf902e9f7bcb165b2b89870a00d03%22	http://assets.squarespace.com/universal/scripts-compressed/common-46716ee55c7b3fef11e3e-min.en-US.js	D:/JS/ptsdbenefit/assets.squarespace.com/universal/scripts-compressed/common-46716ee55c7b3fef11e3e-min.en-US.js	(from https://www.ptsdbenefits.com/)
12:58:47	58623/58623	---MCZ	200	added ('OK')	text/html	etag:W/%229f453295a5fa1027380839d9f4f8aad5--gzip%22	https://www.ptsdbenefits.com/contact	D:/JS/ptsdbenefit/www.ptsdbenefits.com/contact.html	(from https://www.ptsdbenefits.com/)
12:58:50	107363/107363	---MCZ	200	added ('OK')	text/html	etag:W/%22b7e4ed035d483e43922afb7b429d95b0--gzip%22	https://www.ptsdbenefits.com/about	D:/JS/ptsdbenefit/www.ptsdbenefits.com/about.html	(from https://www.ptsdbenefits.com/)
12:58:52	135635/135635	---M--	200	added ('OK')	image/jpeg	etag:CLi14839uOsCEAE=	https://images.squarespace-cdn.com/content/v1/5d7f98caa54e0e23a6eca287/1570634101373-TBGI4OABA74WTX4XUE1I/ke17ZwdGBToddI8pDm48kLkXF2pIyv_F2eUT9F60jBl7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0iyqMbMesKd95J-X4EagrgU9L3Sa3U8cogeb0tjXbfawd0urKshkc5MgdBeJmALQKw/image-asset.jpeg	D:/JS/ptsdbenefit/images.squarespace-cdn.com/content/v1/5d7f98caa54e0e23a6eca287/1570634101373-TBGI4OABA74WTX4XUE1I/ke17ZwdGBToddI8pDm48kLkXF2pIyv_F2eUT9F60jBl7gQa/image-asset.jpg	(from https://www.ptsdbenefits.com/)
12:58:57	1262/1262	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/error-dark.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:58:58	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/error-dark@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:58:59	1219/1219	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:01%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/play-button.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:58:59	2909/2909	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/play-button@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:00	226111/226111	---M--	200	added ('OK')	image/jpeg	etag:CNS54839uOsCEAE=	https://images.squarespace-cdn.com/content/v1/5d7f98caa54e0e23a6eca287/1570634716128-59KALO91N93LFYKN1PI8/ke17ZwdGBToddI8pDm48kLkXF2pIyv_F2eUT9F60jBl7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0iyqMbMesKd95J-X4EagrgU9L3Sa3U8cogeb0tjXbfawd0urKshkc5MgdBeJmALQKw/image-asset.jpeg	D:/JS/ptsdbenefit/images.squarespace-cdn.com/content/v1/5d7f98caa54e0e23a6eca287/1570634716128-59KALO91N93LFYKN1PI8/ke17ZwdGBToddI8pDm48kLkXF2pIyv_F2eUT9F60jBl7gQa/image-asset.jpg	(from https://www.ptsdbenefits.com/)
12:59:00	223/223	---M--	403	error ('Forbidden')	application/xml	date:Sat,%2029%20Aug%202020%2007:59:16%20GMT	http://assets.squarespace.com/universal/images-v6/damask/gallery-play-big.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/gallery-play-big.14.delayed	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:01	223/223	---M--	403	error ('Forbidden')	application/xml	date:Sat,%2029%20Aug%202020%2007:59:17%20GMT	http://assets.squarespace.com/universal/images-v6/damask/gallery-play-big@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/gallery-play-big@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:01	2968/2968	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:02	3097/3097	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:03%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/edit-aviary-light@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:03	3051/3051	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:56%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/edit-info-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:03	3420/3420	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:11%20GMT	http://assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/edit-info-light@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:04	407960/407960	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2029%20Aug%202020%2007:59:11%20GMT	https://static1.squarespace.com/static/ta/5c5a514d65019f01a2cb2be5/953/scripts/site-bundle.js	D:/JS/ptsdbenefit/static1.squarespace.com/static/ta/5c5a514d65019f01a2cb2be5/953/scripts/site-bundle.js	(from https://www.ptsdbenefits.com/)
12:59:04	1042/1042	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/trash-9-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:05	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:10%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/trash-9-light@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:05	1057/1057	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:02%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/trash-9-red.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:05	1048/1048	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:07%20GMT	http://assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/trash-9-red@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:06	3072/3072	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:09%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/getty-16-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:06	3374/3374	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:04%20GMT	http://assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/getty-32-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:07	3010/3010	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:06%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/shopping-cart-16-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:08	3216/3216	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/damask/shopping-cart-32-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:09	561/561	---M--	200	added ('OK')	image/png	etag:%226c71aa26eaf5c7a5a14d8239e2b3e6e1%22	http://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	D:/JS/ptsdbenefit/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:09	1672/1672	---M--	200	added ('OK')	image/png	etag:%22dea2b235f4b37c5774a8cb47f3424529%22	http://static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	D:/JS/ptsdbenefit/static1.squarespace.com/universal/images-v6/icons/block-indicator-dark@2x.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:10	2320/2320	---M--	200	added ('OK')	image/png	etag:%22a1463ff63d2b0a139f48be2db0641717%22	http://static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	D:/JS/ptsdbenefit/static1.squarespace.com/universal/images-v6/icons/opentable-icons.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:10	361/361	---M--	200	added ('OK')	image/png	etag:%22e6aa6f7aada61660fea95ee320a8064a%22	http://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	D:/JS/ptsdbenefit/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-dark.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:10	3034/3034	---M--	200	added ('OK')	image/png	etag:%22a719c027f9edaea23e767d669b3e098f%22	http://static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	D:/JS/ptsdbenefit/static1.squarespace.com/universal/images-v6/icons/icon-searchqueries-20-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:11	365/365	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:28:00%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/icons/icon-video-24-light-solid.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:12	176/176	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:58%20GMT	http://assets.squarespace.com/universal/images-v6/standard/icon_close_7_light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/standard/icon_close_7_light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:12	3058/3058	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Apr%202019%2022:27:59%20GMT	http://assets.squarespace.com/universal/images-v6/icons/icon-settings-16-light.png	D:/JS/ptsdbenefit/assets.squarespace.com/universal/images-v6/icons/icon-settings-16-light.png	(from http://static1.squarespace.com/static/sitecss/5d7f98caa54e0e23a6eca287/16/5c5a519771c10ba3470d8101/5d7f98caa54e0e23a6eca29d/953-05142015/1593483468598/site.css?&filterFeatures=false)
12:59:24	2553/2553	---M--	200	added ('OK')	application/rss+xml	etag:W/%228e9ef489646450c27c7600c36eccd97a%22	https://www.ptsdbenefits.com/va-benefits-blog?format=rss	D:/JS/ptsdbenefit/www.ptsdbenefits.com/va-benefits-bloga409	(from https://www.ptsdbenefits.com/va-benefits-blog)
12:59:30	54685/54685	---MCZ	200	added ('OK')	text/html	etag:W/%22b79832ea4bc200ac081696da483ea8dc--gzip%22	https://www.ptsdbenefits.com/va-benefits-blog/blog-post-title-one-kgkrw	D:/JS/ptsdbenefit/www.ptsdbenefits.com/va-benefits-blog/blog-post-title-one-kgkrw.html	(from https://www.ptsdbenefits.com/va-benefits-blog)
12:59:40	1182207/1182207	---M-Z	200	added ('OK')	text/javascript	etag:%22fda60fb6a7b2250b5ef3ec6ee8f7220e%22	http://assets.squarespace.com/universal/scripts-compressed/commerce-cart-b759f4fe0e2cd55fb5962-min.en-US.js	D:/JS/ptsdbenefit/assets.squarespace.com/universal/scripts-compressed/commerce-cart-b759f4fe0e2cd55fb5962-min.en-US.js	(from https://www.ptsdbenefits.com/cart)
12:59:41	83917/83917	---M--	200	added ('OK')	image/jpeg	etag:CLvquL2muusCEAE=	https://images.squarespace-cdn.com/content/v1/5d7f98caa54e0e23a6eca287/1570736293617-ZWTEN0H8YHBTCMXRPA90/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/flag.jpg	D:/JS/ptsdbenefit/images.squarespace-cdn.com/content/v1/5d7f98caa54e0e23a6eca287/1570736293617-ZWTEN0H8YHBTCMXRPA90/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa/flag.jpg	(from https://www.ptsdbenefits.com/about)
13:00:06	4160196/4160196	---M-Z	200	added ('OK')	text/javascript	etag:%22d2003fb1902ddf35444181095bc6d3ca%22	http://assets.squarespace.com/universal/scripts-compressed/commerce-checkout-5d08a0c4bfab114891e40-min.en-US.js	D:/JS/ptsdbenefit/assets.squarespace.com/universal/scripts-compressed/commerce-checkout-5d08a0c4bfab114891e40-min.en-US.js	(from https://www.ptsdbenefits.com/cart)
13:00:07	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Sat,%2029%20Aug%202020%2008:00:23%20GMT	http://static1.squarespace.com/static/5d7f98caa54e0e23a6eca287/5efaa0c086e01e1389c474da/5efaa0c086e01e1389c474db/1593484959408/20140301_Trade-151_0124-copy.jpg?format=1500w	D:/JS/ptsdbenefit/static1.squarespace.com/static/5d7f98caa54e0e23a6eca287/5efaa0c086e01e1389c474da/5efaa0c086e01e1389c474db/1593484959408/20140301_Trade-151_0124-copy.2f26f7.delayed	(from https://www.ptsdbenefits.com/va-benefits-blog/blog-post-title-one-kgkrw)
13:00:12	334445/334445	---M--	200	added ('OK')	image/jpeg	etag:CNf7h87RvukCEAE=	https://images.squarespace-cdn.com/content/5ec321c2af33de48734cc929/1589846999502-9M8D7ZRY9RXNO7PJIZY3/20140301_Trade-151_0124-copy.jpg?format=1500w&content-type=image%2Fjpeg	D:/JS/ptsdbenefit/images.squarespace-cdn.com/content/5ec321c2af33de48734cc929/1589846999502-9M8D7ZRY9RXNO7PJIZY3/20140301_Trade-151_0124-copy43a3.jpg	(from https://www.ptsdbenefits.com/va-benefits-blog/blog-post-title-one-kgkrw)
13:00:16	51146/51146	---MCZ	200	added ('OK')	text/html	etag:W/%220e23246be22280c934d6aa00257e494e--gzip%22	https://www.ptsdbenefits.com/va-benefits-blog?author=5d9e16c50d24a117a712596e	D:/JS/ptsdbenefit/www.ptsdbenefits.com/va-benefits-blogc7a6.html	(from https://www.ptsdbenefits.com/va-benefits-blog/blog-post-title-one-kgkrw)
